celebrity_name,ballroom_partner,season,placement,results,week,total_score,n_judges,max_score,normalized,pct
Tonya Harding,Sasha Farber,26,3,3rd Place,2,33.0,4,40,0.825,82.5
Josh Norman,Sharna Burgess,26,2,2nd Place,2,31.5,4,40,0.7875,78.75
Adam Rippon,Jenna Johnson,26,1,1st Place,2,37.0,4,40,0.925,92.5
Juan Pablo Di Pace,Cheryl Burke,27,5,Eliminated Week 8,2,26.0,3,30,0.8667,86.67
Evanna Lynch,Keo Motsepe,27,3,3rd Place,2,24.0,3,30,0.8,80.0
Nancy McKeon,Valentin Chmerkovskiy,27,11,Eliminated Week 3,2,20.5,3,30,0.6833,68.33
John Schneider,Emma Slater,27,8,Eliminated Week 7,2,21.5,3,30,0.7167,71.67
Milo Manheim,Witney Carson,27,2,2nd Place,2,26.0,3,30,0.8667,86.67
Danelle Umstead,Artem Chigvintsev,27,12,Eliminated Week 2,2,18.5,3,30,0.6167,61.67
Mary Lou Retton,Sasha Farber,27,9,Eliminated Week 6,2,23.0,3,30,0.7667,76.67
DeMarcus Ware,Lindsay Arnold,27,7,Eliminated Week 7,2,23.5,3,30,0.7833,78.33
Bobby Bones,Sharna Burgess,27,1,1st Place,2,19.5,3,30,0.65,65.0
Tinashe,Brandon Armstrong,27,10,Eliminated Week 4,2,26.0,3,30,0.8667,86.67
Alexis Ren,Alan Bersten,27,4,4th Place,2,24.5,3,30,0.8167,81.67
Joe Amabile,Jenna Johnson,27,6,Eliminated Week 8,2,17.5,3,30,0.5833,58.33
Kate Flannery,Pasha Pashkov,28,7,Eliminated Week 8,2,21.0,3,30,0.7,70.0
James Van Der Beek,Emma Slater,28,5,Eliminated Week 10,2,20.0,3,30,0.6667,66.67
Kel Mitchell,Witney Carson,28,2,2nd Place,2,20.0,3,30,0.6667,66.67
Ray Lewis,Cheryl Burke,28,11,Withdrew,2,15.0,3,30,0.5,50.0
Lamar Odom,Peta Murgatroyd,28,10,Eliminated Week 4,2,12.0,3,30,0.4,40.0
Sailor Brinkley-Cook,Valentin Chmerkovskiy,28,9,Eliminated Week 6,2,18.0,3,30,0.6,60.0
Sean Spicer,Lindsay Arnold,28,6,Eliminated Week 9,2,16.0,3,30,0.5333,53.33
Mary Wilson,Brandon Armstrong,28,12,Eliminated Week 2,2,15.0,3,30,0.5,50.0
Lauren Alaina,Gleb Savchenko,28,4,4th Place,2,19.0,3,30,0.6333,63.33
Ally Brooke,Sasha Farber,28,3,3rd Place,2,20.0,3,30,0.6667,66.67
Karamo Brown,Jenna Johnson,28,8,Eliminated Week 7,2,19.0,3,30,0.6333,63.33
Hannah Brown,Alan Bersten,28,1,1st Place,2,24.0,3,30,0.8,80.0
Anne Heche,Keo Motsepe,29,13,Eliminated Week 4,2,18.0,3,30,0.6,60.0
Jesse Metcalfe,Sharna Burgess,29,12,Eliminated Week 5,2,20.0,3,30,0.6667,66.67
Chrishell Stause,Gleb Savchenko,29,8,Eliminated Week 8,2,18.0,3,30,0.6,60.0
Skai Jackson,Alan Bersten,29,5,Eliminated Week 10,2,15.0,3,30,0.5,50.0
Justina Machado,Sasha Farber,29,4,4th Place,2,21.0,3,30,0.7,70.0
Charles Oakley,Emma Slater,29,15,Eliminated Week 2,2,15.0,3,30,0.5,50.0
Veron Davis,Peta Murgatroyd,29,11,Eliminated Week 6,2,18.0,3,30,0.6,60.0
Johnny Weir,Britt Stewart,29,6,Eliminated Week 10,2,18.0,3,30,0.6,60.0
Nev Schulman,Jenna Johnson,29,2,2nd Place,2,21.0,3,30,0.7,70.0
AJ McLean,Cheryl Burke,29,7,Eliminated Week 9,2,19.0,3,30,0.6333,63.33
Nelly,Daniella Karagach,29,3,3rd Place,2,18.0,3,30,0.6,60.0
Kaitlyn Bristowe,Artem Chigvintsev,29,1,1st Place,2,22.0,3,30,0.7333,73.33
Carole Baskin,Pasha Pashkov,29,14,Eliminated Week 3,2,16.0,3,30,0.5333,53.33
Monica Aldama,Valentin Chmerkovskiy,29,10,Eliminated Week 7,2,16.0,3,30,0.5333,53.33
Jeannie Mai,Brandon Armstrong,29,9,Withdrew,2,18.0,3,30,0.6,60.0
Martin Kove,Britt Stewart,30,15,Eliminated Week 2,2,15.0,4,40,0.375,37.5
Brian Austin Green,Sharna Burgess,30,13,Eliminated Week 4,2,23.0,4,40,0.575,57.5
Melora Hardin,Artem Chigvintsev,30,6,Eliminated Week 9,2,27.0,4,40,0.675,67.5
Matt James,Lindsay Arnold,30,12,Eliminated Week 4,2,22.0,4,40,0.55,55.0
"Mike ""The Miz"" Mizanin",Witney Carson,30,9,Eliminated Week 7,2,26.0,4,40,0.65,65.0
Suni Lee,Sasha Farber,30,5,Eliminated Week 9,2,28.0,4,40,0.7,70.0
Iman Shumpert,Daniella Karagach,30,1,1st Place,2,25.0,4,40,0.625,62.5
Cody Rigsby,Cheryl Burke,30,3,3rd Place,2,24.0,4,40,0.6,60.0
Melanie C,Gleb Savchenko,30,11,Eliminated Week 5,2,30.0,4,40,0.75,75.0
Jimmie Allen,Emma Slater,30,7,Eliminated Week 8,2,27.0,4,40,0.675,67.5
Olivia Jade,Valentin Chmerkovskiy,30,8,Eliminated Week 8,2,27.0,4,40,0.675,67.5
JoJo Siwa,Jenna Johnson,30,2,2nd Place,2,31.0,4,40,0.775,77.5
Christine Chiu,Pasha Pashkov,30,14,Eliminated Week 3,2,24.0,4,40,0.6,60.0
Kenya Moore,Brandon Armstrong,30,10,Eliminated Week 6,2,24.0,4,40,0.6,60.0
Amanda Kloots,Alan Bersten,30,4,4th Place,2,32.0,4,40,0.8,80.0
Cheryl Ladd,Louis van Amstel,31,14,Eliminated Week 3,2,21.0,4,40,0.525,52.5
Selma Blair,Sasha Farber,31,12,Withdrew,2,28.0,4,40,0.7,70.0
Joseph Baena,Daniella Karagach,31,11,Eliminated Week 5,2,24.0,4,40,0.6,60.0
Trevor Donovan,Emma Slater,31,6,Eliminated Week 9,2,30.0,4,40,0.75,75.0
Daniel Durant,Britt Stewart,31,5,Eliminated Week 9,2,29.0,4,40,0.725,72.5
Wayne Brady,Witney Carson,31,3,3rd Place,2,32.0,4,40,0.8,80.0
Sam Champion,Cheryl Burke,31,13,Eliminated Week 4,2,26.0,4,40,0.65,65.0
Jessie James Decker,Alan Bersten,31,10,Eliminated Week 6,2,25.0,4,40,0.625,62.5
Jordin Sparks,Brandon Armstrong,31,9,Eliminated Week 7,2,27.0,4,40,0.675,67.5
Heidi D'Amelio,Artem Chigvintsev,31,8,Eliminated Week 8,2,28.0,4,40,0.7,70.0
Charli D'Amelio,Mark Ballas,31,1,1st Place,2,32.0,4,40,0.8,80.0
Teresa Giudice,Pasha Pashkov,31,15,Eliminated Week 2,2,23.0,4,40,0.575,57.5
Vinny Guadagnino,Koko Iwasaki,31,7,Eliminated Week 8,2,27.0,4,40,0.675,67.5
Shangela,Gleb Savchenko,31,4,4th Place,2,28.0,4,40,0.7,70.0
Gabby Windey,Valentin Chmerkovskiy,31,2,2nd Place,2,32.0,4,40,0.8,80.0
Jamie Lynn Spears,Alan Bersten,32,13,Eliminated Week 2,2,16.0,3,30,0.5333,53.33
Mira Sorvino,Gleb Savchenko,32,10,Eliminated Week 5,2,18.0,3,30,0.6,60.0
Barry Williams,Peta Murgatroyd,32,7,Eliminated Week 8,2,15.0,3,30,0.5,50.0
Alyson Hannigan,Sasha Farber,32,5,5th Place,2,19.0,3,30,0.6333,63.33
Xochitl Gomez,Valentin Chmerkovskiy,32,1,1st Place,2,24.0,3,30,0.8,80.0
Adrian Peterson,Britt Stewart,32,11,Eliminated Week 4,2,15.0,3,30,0.5,50.0
Tyson Beckford,Jenna Johnson,32,12,Eliminated Week 3,2,18.0,3,30,0.6,60.0
Jason Mraz,Daniella Karagach,32,2,2nd Place,2,24.0,3,30,0.8,80.0
Lele Pons,Brandon Armstrong,32,8,Eliminated Week 7,2,21.0,3,30,0.7,70.0
Harry Jowsey,Rylee Arnold,32,6,Eliminated Week 9,2,15.0,3,30,0.5,50.0
Mauricio Umansky,Emma Slater,32,9,Eliminated Week 6,2,12.0,3,30,0.4,40.0
Charity Lawson,Artem Chigvintsev,32,4,4th Place,2,21.0,3,30,0.7,70.0
Ariana Madix,Pasha Pashkov,32,3,3rd Place,2,20.0,3,30,0.6667,66.67
Tori Spelling,Pasha Pashkov,33,12,Eliminated Week 2,2,19.0,3,30,0.6333,63.33
Eric Roberts,Britt Stewart,33,10,Eliminated Week 3,2,15.0,3,30,0.5,50.0
Reginald VelJohnson,Emma Slater,33,10,Eliminated Week 3,2,15.0,3,30,0.5,50.0
Chandler Kinney,Brandon Armstrong,33,3,3rd Place,2,24.0,3,30,0.8,80.0
Dwight Howard ,Daniella Karagach,33,6,Eliminated Week 7,2,22.0,3,30,0.7333,73.33
Danny Amendola,Witney Carson,33,5,5th Place,2,21.0,3,30,0.7,70.0
Stephen Nedoroscik,Rylee Arnold,33,4,4th Place,2,22.0,3,30,0.7333,73.33
Ilona Maher,Alan Bersten,33,2,2nd Place,2,21.0,3,30,0.7,70.0
Anna Delvey,Ezra Sosa,33,12,Eliminated Week 2,2,17.0,3,30,0.5667,56.67
Brooks Nader,Gleb Savchenko,33,9,Eliminated Week 4,2,20.0,3,30,0.6667,66.67
Phaedra Parks,Val Chmerkovskiy,33,8,Eliminated Week 5,2,21.0,3,30,0.7,70.0
Jenn Tran,Sasha Farber,33,7,Eliminated Week 6,2,19.0,3,30,0.6333,63.33
Joey Graziadei,Jenna Johnson,33,1,1st Place,2,22.0,3,30,0.7333,73.33
Corey Feldman,Jenna Johnson,34,13,Eliminated Week 2,2,15.0,3,30,0.5,50.0
Danielle Fishel,Pasha Pashkov,34,8,Eliminated Week 8,2,19.0,3,30,0.6333,63.33
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),34,5,5th Place,2,21.0,3,30,0.7,70.0
Baron Davis,Britt Stewart,34,13,Eliminated Week 2,2,18.0,3,30,0.6,60.0
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),34,3,3rd Place,2,22.0,3,30,0.7333,73.33
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),34,7,Eliminated Week 9,2,16.0,3,30,0.5333,53.33
Robert Irwin,Witney Carson (Xoshitl Gomez week 9),34,1,1st Place,2,22.0,3,30,0.7333,73.33
Hilaria Baldwin,Gleb Savchenko,34,11,Eliminated Week 4,2,21.0,3,30,0.7,70.0
Lauren Jauregui,Brandon Armstrong,34,12,Eliminated Week 3,2,21.0,3,30,0.7,70.0
Scott Hoying,Rylee Arnold,34,10,Eliminated Week 6,2,18.0,3,30,0.6,60.0
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),34,2,2nd Place,2,21.0,3,30,0.7,70.0
Jen Affleck,Jan Ravnik,34,9,Eliminated Week 7,2,22.0,3,30,0.7333,73.33
Whitney Leavitt,Mark Ballas,34,6,Eliminated Week 10,2,22.0,3,30,0.7333,73.33
Dylan Efron,Daniella Karagach (Rumer Willis week 9),34,4,4th Place,2,20.0,3,30,0.6667,66.67
John O'Hurley,Charlotte Jorgensen,1,2,2nd Place,3,24.0,3,30,0.8,80.0
Kelly Monaco,Alec Mazo,1,1,1st Place,3,21.0,3,30,0.7,70.0
Evander Holyfield,Edyta Sliwinska,1,5,Eliminated Week 3,3,13.0,3,30,0.4333,43.33
Rachel Hunter,Jonathan Roberts,1,4,Eliminated Week 4,3,26.0,3,30,0.8667,86.67
Joey McIntyre,Ashly DelGrosso,1,3,3rd Place,3,22.0,3,30,0.7333,73.33
Tia Carrere,Maksim Chmerkoskiy,2,6,Eliminated Week 5,3,26.0,3,30,0.8667,86.67
George Hamilton,Edyta Sliwinska,2,5,Eliminated Week 6,3,22.0,3,30,0.7333,73.33
Lisa Rinna,Louis van Amstel,2,4,Eliminated Week 7,3,25.0,3,30,0.8333,83.33
Stacy Keibler,Tony Dovolani,2,3,3rd Place,3,27.0,3,30,0.9,90.0
Jerry Rice,Anna Trebunskaya,2,2,2nd Place,3,19.0,3,30,0.6333,63.33
Giselle Fernandez,Jonathan Roberts,2,8,Eliminated Week 3,3,22.0,3,30,0.7333,73.33
Master P,Ashly DelGrosso,2,7,Eliminated Week 4,3,14.0,3,30,0.4667,46.67
Drew Lachey,Cheryl Burke,2,1,1st Place,3,27.0,3,30,0.9,90.0
Harry Hamlin,Ashly DelGrosso,3,9,Eliminated Week 3,3,22.0,3,30,0.7333,73.33
Vivica A. Fox,Nick Kosovich,3,8,Eliminated Week 4,3,27.0,3,30,0.9,90.0
Monique Coleman,Louis van Amstel,3,4,Eliminated Week 8,3,27.0,3,30,0.9,90.0
Joey Lawrence,Edyta Sliwinska,3,3,3rd Place,3,22.0,3,30,0.7333,73.33
Mario Lopez,Karina Smirnoff,3,2,2nd Place,3,22.0,3,30,0.7333,73.33
Emmitt Smith,Cheryl Burke,3,1,1st Place,3,19.0,3,30,0.6333,63.33
Willa Ford,Maksim Chmerkoskiy,3,7,Eliminated Week 5,3,22.0,3,30,0.7333,73.33
Sara Evans,Tony Dovolani,3,6,Withdrew,3,25.0,3,30,0.8333,83.33
Jerry Springer,Kym Johnson,3,5,Eliminated Week 7,3,21.0,3,30,0.7,70.0
John Ratzenberger,Edyta Sliwinska,4,6,Eliminated Week 7,3,20.0,3,30,0.6667,66.67
Ian Ziering,Cheryl Burke,4,4,Eliminated Week 9,3,24.0,3,30,0.8,80.0
Clyde Drexler,Elena Grinenko,4,8,Eliminated Week 5,3,16.0,3,30,0.5333,53.33
Laila Ali,Maksim Chmerkoskiy,4,3,3rd Place,3,21.0,3,30,0.7,70.0
Apolo Anton Ohno,Julianne Hough,4,1,1st Place,3,23.0,3,30,0.7667,76.67
Shandi Finnessey,Brian Fortuna,4,10,Eliminated Week 3,3,21.0,3,30,0.7,70.0
Heather Mills,Jonathan Roberts,4,7,Eliminated Week 6,3,24.0,3,30,0.8,80.0
Billy Ray Cyrus,Karina Smirnoff,4,5,Eliminated Week 8,3,21.0,3,30,0.7,70.0
Joey Fatone,Kym Johnson,4,2,2nd Place,3,24.0,3,30,0.8,80.0
Leeza Gibbons,Tony Dovolani,4,9,Eliminated Week 4,3,24.0,3,30,0.8,80.0
Cameron Mathison,Edyta Sliwinska,5,5,Eliminated Week 8,3,23.0,3,30,0.7667,76.67
Jane Seymour,Tony Dovolani,5,6,Eliminated Week 7,3,27.0,3,30,0.9,90.0
Sabrina Bryan,Mark Ballas,5,7,Eliminated Week 6,3,27.0,3,30,0.9,90.0
Jennie Garth,Derek Hough,5,4,Eliminated Week 9,3,26.0,3,30,0.8667,86.67
Floyd Mayweather Jr. ,Karina Smirnoff,5,9,Eliminated Week 4,3,21.0,3,30,0.7,70.0
Helio Castroneves,Julianne Hough,5,1,1st Place,3,24.0,3,30,0.8,80.0
Mel B,Maksim Chmerkoskiy,5,2,2nd Place,3,27.0,3,30,0.9,90.0
Wayne Newton,Cheryl Burke,5,10,Eliminated Week 3,3,18.0,3,30,0.6,60.0
Marie Osmond,Jonathan Roberts,5,3,3rd Place,3,26.0,3,30,0.8667,86.67
Mark Cuban,Kym Johnson,5,8,Eliminated Week 5,3,20.0,3,30,0.6667,66.67
Cristian de la Fuente,Cheryl Burke,6,3,3rd Place,3,25.0,3,30,0.8333,83.33
Steve Guttenberg,Anna Trebunskaya,6,10,Eliminated Week 3,3,21.0,3,30,0.7,70.0
Priscilla Presley,Louis van Amstel,6,8,Eliminated Week 5,3,26.0,3,30,0.8667,86.67
Marlee Matlin,Fabian Sanchez,6,7,Eliminated Week 6,3,21.0,3,30,0.7,70.0
Shannon Elizabeth,Derek Hough,6,6,Eliminated Week 7,3,24.0,3,30,0.8,80.0
Marissa Jaret Winokur,Tony Dovolani,6,4,Eliminated Week 9,3,19.0,3,30,0.6333,63.33
Jason Taylor,Edyta Sliwinska,6,2,2nd Place,3,23.0,3,30,0.7667,76.67
Kristi Yamaguchi,Mark Ballas,6,1,1st Place,3,27.0,3,30,0.9,90.0
Adam Carolla,Julianne Hough,6,9,Eliminated Week 4,3,21.0,3,30,0.7,70.0
Mario,Karina Smirnoff,6,5,Eliminated Week 8,3,21.0,3,30,0.7,70.0
Cloris Leachman,Corky Ballas,7,7,Eliminated Week 6,3,16.0,3,30,0.5333,53.33
Susan Lucci,Tony Dovolani,7,6,Eliminated Week 7,3,21.0,3,30,0.7,70.0
Cody Linley,Julianne Hough,7,4,Eliminated Week 9,3,21.0,3,30,0.7,70.0
Maurice Greene,Cheryl Burke,7,5,Eliminated Week 8,3,24.0,3,30,0.8,80.0
Warren Sapp,Kym Johnson,7,2,2nd Place,3,25.0,3,30,0.8333,83.33
Toni Braxton,Alec Mazo,7,8,Eliminated Week 5,3,22.0,3,30,0.7333,73.33
Lance Bass,Lacey Schwimmer,7,3,3rd Place,3,22.0,3,30,0.7333,73.33
Rocco DiSpirito,Karina Smirnoff,7,9,Eliminated Week 4,3,20.0,3,30,0.6667,66.67
Brooke Burke,Derek Hough,7,1,1st Place,3,28.0,3,30,0.9333,93.33
Gilles Marini,Cheryl Burke,8,2,2nd Place,3,27.0,3,30,0.9,90.0
Denise Richards,Maksim Chmerkoskiy,8,12,Eliminated Week 3,3,16.0,3,30,0.5333,53.33
David Alan Grier,Kym Johnson,8,9,Eliminated Week 5,3,24.0,3,30,0.8,80.0
Lawrence Taylor,Edyta Sliwinska,8,7,Eliminated Week 7,3,20.0,3,30,0.6667,66.67
Ty Murray,Chelsie Hightower,8,4,Eliminated Week 10,3,23.0,3,30,0.7667,76.67
Shawn Johnson,Mark Ballas,8,1,1st Place,3,27.0,3,30,0.9,90.0
Steve Wozniak,Karina Smirnoff,8,10,Eliminated Week 4,3,10.0,3,30,0.3333,33.33
Chuck Wicks,Julianne Hough,8,6,Eliminated Week 8,3,23.0,3,30,0.7667,76.67
Lil' Kim,Derek Hough,8,5,Eliminated Week 9,3,25.0,3,30,0.8333,83.33
Steve-O,Lacey Schwimmer,8,8,Eliminated Week 6,3,15.0,3,30,0.5,50.0
Holly Madison,Dmitry Chaplin,8,11,Eliminated Week 4,3,17.0,3,30,0.5667,56.67
Melissa Rycroft,Tony Dovolani,8,3,3rd Place,3,27.0,3,30,0.9,90.0
Debi Mazar,Maksim Chmerkoskiy,9,12,Eliminated Week 3,3,17.0,3,30,0.5667,56.67
Melissa Joan Hart,Mark Ballas,9,9,Eliminated Week 6,3,19.0,3,30,0.6333,63.33
Mark Dacascos,Lacey Schwimmer,9,6,Eliminated Week 7,3,18.0,3,30,0.6,60.0
Chuck Liddell,Anna Trebunskaya,9,11,Eliminated Week 4,3,17.0,3,30,0.5667,56.67
Natalie Coughlin,Alec Mazo,9,10,Eliminated Week 5,3,26.0,3,30,0.8667,86.67
Louie Vito,Chelsie Hightower,9,8,Eliminated Week 6,3,20.0,3,30,0.6667,66.67
Michael Irvin,Anna Demidova,9,7,Eliminated Week 7,3,14.0,3,30,0.4667,46.67
Joanna Krupa,Derek Hough,9,4,Eliminated Week 9,3,23.0,3,30,0.7667,76.67
Tom DeLay,Cheryl Burke,9,13,Withdrew,3,15.0,3,30,0.5,50.0
Aaron Carter,Karina Smirnoff,9,5,Eliminated Week 8,3,21.0,3,30,0.7,70.0
Mya,Dmitry Chaplin,9,2,2nd Place,3,27.0,3,30,0.9,90.0
Donny Osmond,Kym Johnson,9,1,1st Place,3,21.0,3,30,0.7,70.0
Kelly Osbourne,Louis van Amstel,9,3,3rd Place,3,20.0,3,30,0.6667,66.67
Aiden Turner,Edyta Sliwinska,10,9,Eliminated Week 4,3,20.0,3,30,0.6667,66.67
Niecy Nash,Louis van Amstel,10,5,Eliminated Week 8,3,21.0,3,30,0.7,70.0
Buzz Aldrin,Ashly DelGrosso,10,10,Eliminated Week 3,3,13.0,3,30,0.4333,43.33
Chad Ochocinco,Cheryl Burke,10,4,Eliminated Week 9,3,20.0,3,30,0.6667,66.67
Evan Lysacek,Anna Trebunskaya,10,2,2nd Place,3,26.0,3,30,0.8667,86.67
Pamela Anderson,Damian Whitewood,10,6,Eliminated Week 7,3,21.0,3,30,0.7,70.0
Nicole Scherzinger,Derek Hough,10,1,1st Place,3,23.0,3,30,0.7667,76.67
Erin Andrews,Maksim Chmerkoskiy,10,3,3rd Place,3,23.0,3,30,0.7667,76.67
Kate Gosselin,Tony Dovolani,10,8,Eliminated Week 5,3,15.0,3,30,0.5,50.0
Jake Pavelka,Chelsie Hightower,10,7,Eliminated Week 6,3,21.0,3,30,0.7,70.0
Florence Henderson,Corky Ballas,11,8,Eliminated Week 5,3,20.0,3,30,0.6667,66.67
Kyle Massey,Lacey Schwimmer,11,2,2nd Place,3,23.0,3,30,0.7667,76.67
Jennifer Grey,Derek Hough,11,1,1st Place,3,24.0,3,30,0.8,80.0
Rick Fox,Cheryl Burke,11,6,Eliminated Week 7,3,24.0,3,30,0.8,80.0
Kurt Warner,Anna Trebunskaya,11,5,Eliminated Week 8,3,23.0,3,30,0.7667,76.67
Margaret Cho,Louis van Amstel,11,10,Eliminated Week 3,3,18.0,3,30,0.6,60.0
Brandy,Maksim Chmerkoskiy,11,4,Eliminated Week 9,3,24.0,3,30,0.8,80.0
The Situation,Karina Smirnoff,11,9,Eliminated Week 4,3,20.0,3,30,0.6667,66.67
Audrina Patridge,Tony Dovolani,11,7,Eliminated Week 6,3,26.0,3,30,0.8667,86.67
Bristol Palin,Mark Ballas,11,3,3rd Place,3,19.0,3,30,0.6333,63.33
Ralph Macchio,Karina Smirnoff,12,4,Eliminated Week 9,3,21.0,3,30,0.7,70.0
Chelsea Kane,Mark Ballas,12,3,3rd Place,3,23.0,3,30,0.7667,76.67
Kirstie Alley,Maksim Chmerkoskiy,12,2,2nd Place,3,21.0,3,30,0.7,70.0
Hines Ward,Kym Johnson,12,1,1st Place,3,25.0,3,30,0.8333,83.33
Sugar Ray Leonard,Anna Trebunskaya,12,9,Eliminated Week 4,3,20.0,3,30,0.6667,66.67
Chris Jericho,Cheryl Burke,12,7,Eliminated Week 6,3,21.0,3,30,0.7,70.0
Petra Nemcova,Dmitry Chaplin,12,8,Eliminated Week 5,3,25.0,3,30,0.8333,83.33
Romeo,Chelsie Hightower,12,5,Eliminated Week 8,3,20.0,3,30,0.6667,66.67
Wendy Williams,Tony Dovolani,12,10,Eliminated Week 3,3,15.0,3,30,0.5,50.0
Kendra Wilkinson,Louis van Amstel,12,6,Eliminated Week 7,3,23.0,3,30,0.7667,76.67
David Arquette,Kym Johnson,13,6,Eliminated Week 7,3,24.0,3,30,0.8,80.0
Ricki Lake,Derek Hough,13,3,3rd Place,3,27.0,3,30,0.9,90.0
J.R. Martinez,Karina Smirnoff,13,1,1st Place,3,26.0,3,30,0.8667,86.67
Hope Solo,Maksim Chmerkoskiy,13,4,Eliminated Week 9,3,24.0,3,30,0.8,80.0
Chynna Phillips,Tony Dovolani,13,9,Eliminated Week 4,3,26.0,3,30,0.8667,86.67
Kristin Cavallari,Mark Ballas,13,10,Eliminated Week 3,3,24.0,3,30,0.8,80.0
Carson Kressley,Anna Trebunskaya,13,8,Eliminated Week 5,3,23.0,3,30,0.7667,76.67
Chaz Bono,Lacey Schwimmer,13,7,Eliminated Week 6,3,18.0,3,30,0.6,60.0
Nancy Grace,Tristan MacManus,13,5,Eliminated Week 8,3,21.0,3,30,0.7,70.0
Rob Kardashian,Cheryl Burke,13,2,2nd Place,3,24.0,3,30,0.8,80.0
William Levy,Cheryl Burke,14,3,3rd Place,3,28.0,3,30,0.9333,93.33
Jack Wagner,Anna Trebunskaya,14,11,Eliminated Week 3,3,24.0,3,30,0.8,80.0
Sherri Sheperd,Valentin Chmerkovskiy,14,10,Eliminated Week 4,3,24.0,3,30,0.8,80.0
Jaleel White,Kym Johnson,14,7,Eliminated Week 7,3,25.0,3,30,0.8333,83.33
Roshon Fegan,Chelsie Hightower,14,6,Eliminated Week 8,3,25.0,3,30,0.8333,83.33
Melissa Gilbert,Maksim Chmerkoskiy,14,5,Eliminated Week 8,3,24.0,3,30,0.8,80.0
Donald Driver,Peta Murgatroyd,14,1,1st Place,3,26.0,3,30,0.8667,86.67
Gavin DeGraw,Karina Smirnoff,14,9,Eliminated Week 5,3,24.0,3,30,0.8,80.0
Gladys Knight,Tristan MacManus,14,8,Eliminated Week 6,3,24.0,3,30,0.8,80.0
Katherine Jenkins,Mark Ballas,14,2,2nd Place,3,29.0,3,30,0.9667,96.67
Maria Menounos,Derek Hough,14,4,Eliminated Week 9,3,27.0,3,30,0.9,90.0
Gilles Marini,Peta Murgatroyd,15,6,Eliminated Week 8,3,25.5,3,30,0.85,85.0
Sabrina Bryan,Louis van Amstel,15,8,Eliminated Week 6,3,25.5,3,30,0.85,85.0
Kirstie Alley,Maksim Chmerkoskiy,15,7,Eliminated Week 8,3,24.0,3,30,0.8,80.0
Kelly Monaco,Valentin Chmerkovskiy,15,3,3rd Place,3,27.0,3,30,0.9,90.0
Apolo Anton Ohno,Karina Smirnoff,15,5,Eliminated Week 9,3,25.5,3,30,0.85,85.0
Emmitt Smith,Cheryl Burke,15,4,Eliminated Week 9,3,25.0,3,30,0.8333,83.33
Shawn Johnson,Derek Hough,15,2,2nd Place,3,26.5,3,30,0.8833,88.33
Helio Castroneves,Chelsie Hightower,15,10,Eliminated Week 3,3,25.5,3,30,0.85,85.0
Drew Lachey,Anna Trebunskaya,15,11,Eliminated Week 3,3,24.0,3,30,0.8,80.0
Bristol Palin,Mark Ballas,15,9,Eliminated Week 4,3,22.5,3,30,0.75,75.0
Melissa Rycroft,Tony Dovolani,15,1,1st Place,3,27.0,3,30,0.9,90.0
Ingo Rademacher,Kym Johnson,16,5,Eliminated Week 9,3,21.0,3,30,0.7,70.0
Zendaya,Valentin Chmerkovskiy,16,2,2nd Place,3,25.9998,3,30,0.8667,86.67
Victor Ortiz,Lindsay Arnold,16,8,Eliminated Week 6,3,23.0,3,30,0.7667,76.67
Alexandra Raisman,Mark Ballas,16,4,Eliminated Week 10,3,23.0,3,30,0.7667,76.67
Jacoby Jones,Karina Smirnoff,16,3,3rd Place,3,25.9998,3,30,0.8667,86.67
D. L. Hughley,Cheryl Burke,16,9,Eliminated Week 5,3,16.0,3,30,0.5333,53.33
Andy Dick,Sharna Burgess,16,7,Eliminated Week 7,3,18.0,3,30,0.6,60.0
Wynonna Judd,Tony Dovolani,16,11,Eliminated Week 3,3,15.0,3,30,0.5,50.0
Kellie Pickler,Derek Hough,16,1,1st Place,3,25.0,3,30,0.8333,83.33
Lisa Vanderpump,Gleb Savchenko,16,10,Eliminated Week 4,3,21.0,3,30,0.7,70.0
Sean Lowe,Peta Murgatroyd,16,6,Eliminated Week 8,3,21.0,3,30,0.7,70.0
Valerie Harper,Tristan MacManus,17,10,Eliminated Week 4,3,16.0,3,30,0.5333,53.33
Brant Daugherty,Peta Murgatroyd,17,7,Eliminated Week 8,3,27.0,3,30,0.9,90.0
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,17,6,Eliminated Week 9,3,25.0,3,30,0.8333,83.33
Leah Remini,Tony Dovolani,17,5,Eliminated Week 10,3,24.0,3,30,0.8,80.0
Corbin Bleu,Karina Smirnoff,17,2,2nd Place,3,26.0,3,30,0.8667,86.67
Amber Riley,Derek Hough,17,1,1st Place,3,24.0,3,30,0.8,80.0
Bill Engvall,Emma Slater,17,4,Eliminated Week 11,3,24.0,3,30,0.8,80.0
Christina Milian,Mark Ballas,17,9,Eliminated Week 5,3,26.0,3,30,0.8667,86.67
"Nicole ""Snooki"" Polizzi",Sasha Farber,17,8,Eliminated Week 7,3,25.0,3,30,0.8333,83.33
Jack Osbourne,Cheryl Burke,17,3,3rd Place,3,22.0,3,30,0.7333,73.33
Bill Nye,Tyne Stecklein,17,11,Eliminated Week 3,3,16.0,3,30,0.5333,53.33
