season,week,rule_used,actual_eliminated,elim_under_pct,elim_under_rank,elim_judge_choice_pct,elim_judge_choice_rank,match_same_method,match_cross_method,elim_judge_pct_bt,elim_judge_rank_bt
20,7,percentage,Willow Shields,Willow Shields,Rumer Willis,Robert Herjavec,Rumer Willis,True,False,Robert Herjavec,Rumer Willis
20,8,percentage,Robert Herjavec,Robert Herjavec,Robert Herjavec,Robert Herjavec,Robert Herjavec,True,True,Robert Herjavec,Robert Herjavec
20,9,percentage,Nastia Liukin,Nastia Liukin,Nastia Liukin,Noah Galloway,Noah Galloway,True,True,Noah Galloway,Noah Galloway
20,10,percentage,,Noah Galloway,Rumer Willis,Noah Galloway,Noah Galloway,False,False,Noah Galloway,Noah Galloway
21,1,percentage,,Chaka Khan,Paula Deen,Kim Zolciak-Biermann,Chaka Khan,False,False,Kim Zolciak-Biermann,Chaka Khan
21,2,percentage,Victor Espinoza,Chaka Khan,Chaka Khan,Chaka Khan,Chaka Khan,False,False,Chaka Khan,Chaka Khan
21,3,percentage,,Paula Deen,Tamar Braxton,Paula Deen,Paula Deen,False,False,Paula Deen,Paula Deen
21,4,percentage,Gary Busey,Gary Busey,Gary Busey,Gary Busey,Gary Busey,True,True,Gary Busey,Gary Busey
21,5,percentage,,Paula Deen,Hayes Grier,Paula Deen,Tamar Braxton,False,False,Paula Deen,Tamar Braxton
21,6,percentage,Paula Deen,Paula Deen,Paula Deen,Paula Deen,Paula Deen,True,True,Paula Deen,Paula Deen
21,7,percentage,Hayes Grier,Hayes Grier,Alek Skarlatos,Alek Skarlatos,Alek Skarlatos,True,False,Alek Skarlatos,Alek Skarlatos
21,8,percentage,Andy Grammer,Andy Grammer,Andy Grammer,Andy Grammer,Andy Grammer,True,True,Andy Grammer,Andy Grammer
21,9,percentage,Alexa PenaVega,Alexa PenaVega,Tamar Braxton,Tamar Braxton,Tamar Braxton,True,False,Tamar Braxton,Tamar Braxton
21,10,percentage,,Nick Carter,Nick Carter,Nick Carter,Nick Carter,False,False,Nick Carter,Nick Carter
21,11,percentage,Carlos PenaVega,Carlos PenaVega,Carlos PenaVega,Carlos PenaVega,Alek Skarlatos,True,True,Carlos PenaVega,Alek Skarlatos
22,1,percentage,,Geraldo Rivera,Mischa Barton,Geraldo Rivera,Mischa Barton,False,False,Geraldo Rivera,Mischa Barton
22,2,percentage,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,True,True,Geraldo Rivera,Geraldo Rivera
22,3,percentage,Mischa Barton,Mischa Barton,Mischa Barton,Mischa Barton,Mischa Barton,True,True,Mischa Barton,Mischa Barton
22,4,percentage,Marla Maples,Marla Maples,Marla Maples,Jodie Sweetin,Marla Maples,True,True,Jodie Sweetin,Marla Maples
22,5,percentage,,Antonio Brown,Doug Flutie,Antonio Brown,Doug Flutie,False,False,Antonio Brown,Doug Flutie
22,6,percentage,Doug Flutie,Doug Flutie,Doug Flutie,Doug Flutie,Doug Flutie,True,True,Doug Flutie,Doug Flutie
22,7,percentage,Kim Fields,Kim Fields,Kim Fields,Kim Fields,Kim Fields,True,True,Kim Fields,Kim Fields
22,8,percentage,Jodie Sweetin,Jodie Sweetin,Wanya Morris,Wanya Morris,Wanya Morris,True,False,Wanya Morris,Wanya Morris
22,9,percentage,Antonio Brown,Antonio Brown,Antonio Brown,Antonio Brown,Antonio Brown,True,True,Antonio Brown,Antonio Brown
22,10,percentage,,Ginger Zee,Nyle DiMarco,Ginger Zee,Ginger Zee,False,False,Ginger Zee,Ginger Zee
23,1,percentage,,Rick Perry,Jake T. Austin,Rick Perry,Jake T. Austin,False,False,Rick Perry,Jake T. Austin
23,2,percentage,Jake T. Austin,Jake T. Austin,Jake T. Austin,Rick Perry,Jake T. Austin,True,True,Rick Perry,Jake T. Austin
23,3,percentage,Rick Perry,Rick Perry,Rick Perry,Rick Perry,Rick Perry,True,True,Rick Perry,Rick Perry
23,4,percentage,Babyface,Babyface,Babyface,Babyface,Babyface,True,True,Babyface,Babyface
23,5,percentage,,Ryan Lochte,Amber Rose,Ryan Lochte,Amber Rose,False,False,Ryan Lochte,Amber Rose
23,6,percentage,Amber Rose,Amber Rose,Amber Rose,Amber Rose,Amber Rose,True,True,Amber Rose,Amber Rose
23,7,percentage,Maureen McCormick,Maureen McCormick,Maureen McCormick,Marilu Henner,Marilu Henner,True,True,Marilu Henner,Marilu Henner
23,8,percentage,Ryan Lochte,Ryan Lochte,Ryan Lochte,Terra Jole,Marilu Henner,True,True,Terra Jole,Marilu Henner
23,9,percentage,Marilu Henner,Marilu Henner,Marilu Henner,Marilu Henner,Marilu Henner,True,True,Marilu Henner,Marilu Henner
23,10,percentage,Terra Jole,Terra Jole,James Hinchcliffe,James Hinchcliffe,James Hinchcliffe,True,False,James Hinchcliffe,James Hinchcliffe
23,11,percentage,Jana Kramer,Jana Kramer,Jana Kramer,Jana Kramer,Jana Kramer,True,True,Jana Kramer,Jana Kramer
24,1,percentage,,Chris Kattan,Charo,Chris Kattan,Chris Kattan,False,False,Chris Kattan,Chris Kattan
24,2,percentage,Chris Kattan,Chris Kattan,Chris Kattan,Chris Kattan,Chris Kattan,True,True,Chris Kattan,Chris Kattan
24,3,percentage,Charo,Charo,Charo,Charo,Charo,True,True,Charo,Charo
24,4,percentage,Mr. T,Mr. T,Mr. T,Mr. T,Mr. T,True,True,Mr. T,Mr. T
24,5,percentage,Erika Jayne,Erika Jayne,Erika Jayne,Bonner Bolton,Erika Jayne,True,True,Bonner Bolton,Erika Jayne
24,6,percentage,Heather Morris,Heather Morris,Nancy Kerrigan,Nancy Kerrigan,Bonner Bolton,True,False,Nancy Kerrigan,Bonner Bolton
24,7,percentage,Nancy Kerrigan,Nick Viall,Nancy Kerrigan,Nick Viall,Nick Viall,False,True,Nick Viall,Nick Viall
24,8,percentage,Bonner Bolton,Bonner Bolton,Bonner Bolton,Bonner Bolton,Bonner Bolton,True,True,Bonner Bolton,Bonner Bolton
24,9,percentage,Simone Biles,Simone Biles,David Ross,David Ross,David Ross,True,False,David Ross,David Ross
24,10,percentage,,David Ross,Normani,David Ross,David Ross,False,False,David Ross,David Ross
25,1,percentage,,Barbara Corcoran,Drew Scott,Barbara Corcoran,Drew Scott,False,False,Barbara Corcoran,Drew Scott
25,2,percentage,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,True,True,Barbara Corcoran,Barbara Corcoran
25,3,percentage,,Sasha Pieterse,Terrell Owens,Sasha Pieterse,Sasha Pieterse,False,False,Sasha Pieterse,Sasha Pieterse
25,4,percentage,Derek Fisher,Derek Fisher,Derek Fisher,Derek Fisher,Derek Fisher,True,True,Derek Fisher,Derek Fisher
25,5,percentage,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,Nick Lachey,Sasha Pieterse,True,True,Nick Lachey,Sasha Pieterse
25,6,percentage,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,True,True,Nick Lachey,Nick Lachey
25,7,percentage,Nikki Bella,Nikki Bella,Nikki Bella,Nikki Bella,Nikki Bella,True,True,Nikki Bella,Nikki Bella
25,8,percentage,Terrell Owens,Terrell Owens,Terrell Owens,Victoria Arlen,Terrell Owens,True,True,Victoria Arlen,Terrell Owens
25,9,percentage,Victoria Arlen,Victoria Arlen,Victoria Arlen,Drew Scott,Frankie Muniz,True,True,Drew Scott,Frankie Muniz
25,10,percentage,Drew Scott,Drew Scott,Drew Scott,Drew Scott,Drew Scott,True,True,Drew Scott,Drew Scott
26,1,percentage,Jamie Anderson,Johnny Damon,Jamie Anderson,Johnny Damon,Johnny Damon,False,True,Johnny Damon,Johnny Damon
26,2,percentage,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,True,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar
26,3,percentage,Jennie Finch Daigle,Jennie Finch Daigle,Chris Mazdzer,Jennie Finch Daigle,Jennie Finch Daigle,True,False,Jennie Finch Daigle,Jennie Finch Daigle
26,4,percentage,,Tonya Harding,Josh Norman,Tonya Harding,Tonya Harding,False,False,Tonya Harding,Tonya Harding
27,1,percentage,Nikki Glaser,Nikki Glaser,Nikki Glaser,Joe Amabile,Nikki Glaser,True,True,Joe Amabile,Nikki Glaser
27,2,percentage,Danelle Umstead,Danelle Umstead,Danelle Umstead,Joe Amabile,Danelle Umstead,True,True,Joe Amabile,Danelle Umstead
27,3,percentage,Nancy McKeon,Nancy McKeon,Nancy McKeon,John Schneider,John Schneider,True,True,John Schneider,John Schneider
27,4,percentage,Tinashe,Tinashe,Tinashe,Joe Amabile,DeMarcus Ware,True,True,Joe Amabile,DeMarcus Ware
27,5,percentage,,Joe Amabile,Joe Amabile,Joe Amabile,Joe Amabile,False,False,Joe Amabile,Joe Amabile
27,6,percentage,Mary Lou Retton,Mary Lou Retton,Mary Lou Retton,John Schneider,Mary Lou Retton,True,True,John Schneider,Mary Lou Retton
27,7,percentage,John Schneider,DeMarcus Ware,DeMarcus Ware,DeMarcus Ware,DeMarcus Ware,False,False,DeMarcus Ware,DeMarcus Ware
27,8,percentage,Juan Pablo Di Pace,Joe Amabile,Joe Amabile,Joe Amabile,Joe Amabile,False,False,Joe Amabile,Joe Amabile
27,9,percentage,,Bobby Bones,Bobby Bones,Bobby Bones,Bobby Bones,False,False,Bobby Bones,Bobby Bones
28,1,rank,,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom,False,False,Lamar Odom,Lamar Odom
28,2,rank,Mary Wilson,Mary Wilson,Mary Wilson,Lamar Odom,Mary Wilson,True,True,Lamar Odom,Mary Wilson
28,3,rank,,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom,False,False,Lamar Odom,Lamar Odom
28,4,rank,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom,True,True,Lamar Odom,Lamar Odom
28,5,rank,,Sean Spicer,Sean Spicer,Sean Spicer,Sean Spicer,False,False,Sean Spicer,Sean Spicer
28,6,rank,Sailor Brinkley-Cook,Sailor Brinkley-Cook,Sailor Brinkley-Cook,Sailor Brinkley-Cook,Kel Mitchell,True,True,Sailor Brinkley-Cook,Kel Mitchell
28,7,rank,Karamo Brown,Karamo Brown,Karamo Brown,Karamo Brown,Karamo Brown,True,True,Karamo Brown,Karamo Brown
28,8,rank,Kate Flannery,Kate Flannery,Kate Flannery,Sean Spicer,Sean Spicer,True,True,Sean Spicer,Sean Spicer
28,9,rank,Sean Spicer,Sean Spicer,Sean Spicer,Sean Spicer,Sean Spicer,True,True,Sean Spicer,Sean Spicer
28,10,rank,James Van Der Beek,James Van Der Beek,James Van Der Beek,James Van Der Beek,James Van Der Beek,True,True,James Van Der Beek,James Van Der Beek
28,11,rank,,Lauren Alaina,Lauren Alaina,Lauren Alaina,Lauren Alaina,False,False,Lauren Alaina,Lauren Alaina
29,1,rank,,Charles Oakley,Charles Oakley,Carole Baskin,Charles Oakley,False,False,Carole Baskin,Charles Oakley
29,2,rank,Charles Oakley,Charles Oakley,Charles Oakley,Charles Oakley,Charles Oakley,True,True,Charles Oakley,Charles Oakley
29,3,rank,Carole Baskin,Carole Baskin,Carole Baskin,Carole Baskin,Carole Baskin,True,True,Carole Baskin,Carole Baskin
29,4,rank,Anne Heche,Anne Heche,Anne Heche,Anne Heche,Anne Heche,True,True,Anne Heche,Anne Heche
29,5,rank,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,True,True,Jesse Metcalfe,Jesse Metcalfe
29,6,rank,Veron Davis,Veron Davis,Veron Davis,Skai Jackson,Veron Davis,True,True,Skai Jackson,Veron Davis
29,7,rank,Monica Aldama,Monica Aldama,Monica Aldama,Monica Aldama,Monica Aldama,True,True,Monica Aldama,Monica Aldama
29,8,rank,Chrishell Stause,Chrishell Stause,Chrishell Stause,Chrishell Stause,Chrishell Stause,True,True,Chrishell Stause,Chrishell Stause
29,9,rank,AJ McLean,AJ McLean,AJ McLean,Nelly,AJ McLean,True,True,Nelly,AJ McLean
29,10,rank,Skai Jackson,Skai Jackson,Skai Jackson,Skai Jackson,Skai Jackson,True,True,Skai Jackson,Skai Jackson
29,11,rank,,Nelly,Kaitlyn Bristowe,Nelly,Nelly,False,False,Nelly,Nelly
30,1,rank,,Martin Kove,Martin Kove,Martin Kove,Martin Kove,False,False,Martin Kove,Martin Kove
30,2,rank,Martin Kove,Martin Kove,Martin Kove,Martin Kove,Martin Kove,True,True,Martin Kove,Martin Kove
30,3,rank,Christine Chiu,Christine Chiu,Christine Chiu,Matt James,Christine Chiu,True,True,Matt James,Christine Chiu
30,4,rank,Brian Austin Green,Matt James,Brian Austin Green,Brian Austin Green,Brian Austin Green,True,False,Brian Austin Green,Brian Austin Green
30,5,rank,Melanie C,Melanie C,Melanie C,Melanie C,Melanie C,True,True,Melanie C,Melanie C
30,6,rank,Kenya Moore,Kenya Moore,Kenya Moore,Kenya Moore,Kenya Moore,True,True,Kenya Moore,Kenya Moore
30,7,rank,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,True,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin"
30,8,rank,Jimmie Allen,Jimmie Allen,Jimmie Allen,Jimmie Allen,Jimmie Allen,True,True,Jimmie Allen,Jimmie Allen
30,9,rank,Melora Hardin,Suni Lee,Melora Hardin,Melora Hardin,Melora Hardin,True,False,Melora Hardin,Melora Hardin
30,10,rank,,Cody Rigsby,Cody Rigsby,Cody Rigsby,Cody Rigsby,False,False,Cody Rigsby,Cody Rigsby
31,1,rank,Jason Lewis,Jason Lewis,Jason Lewis,Vinny Guadagnino,Jason Lewis,True,True,Vinny Guadagnino,Jason Lewis
31,2,rank,Teresa Giudice,Teresa Giudice,Teresa Giudice,Cheryl Ladd,Teresa Giudice,True,True,Cheryl Ladd,Teresa Giudice
31,3,rank,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd,Vinny Guadagnino,Cheryl Ladd,True,True,Vinny Guadagnino,Cheryl Ladd
31,4,rank,Sam Champion,Sam Champion,Sam Champion,Sam Champion,Sam Champion,True,True,Sam Champion,Sam Champion
31,5,rank,Joseph Baena,Joseph Baena,Joseph Baena,Joseph Baena,Joseph Baena,True,True,Joseph Baena,Joseph Baena
31,6,rank,Jessie James Decker,Jessie James Decker,Jessie James Decker,Jessie James Decker,Jessie James Decker,True,True,Jessie James Decker,Jessie James Decker
31,7,rank,Jordin Sparks,Jordin Sparks,Jordin Sparks,Jordin Sparks,Jordin Sparks,True,True,Jordin Sparks,Jordin Sparks
31,8,rank,Heidi D'Amelio,Vinny Guadagnino,Heidi D'Amelio,Vinny Guadagnino,Vinny Guadagnino,True,False,Vinny Guadagnino,Vinny Guadagnino
31,9,rank,Trevor Donovan,Daniel Durant,Trevor Donovan,Trevor Donovan,Trevor Donovan,True,False,Trevor Donovan,Trevor Donovan
31,10,rank,,Shangela,Shangela,Shangela,Shangela,False,False,Shangela,Shangela
32,1,rank,Matt Walsh,Matt Walsh,Matt Walsh,Matt Walsh,Matt Walsh,True,True,Matt Walsh,Matt Walsh
32,2,rank,Jamie Lynn Spears,Jamie Lynn Spears,Jamie Lynn Spears,Mauricio Umansky,Jamie Lynn Spears,True,True,Mauricio Umansky,Jamie Lynn Spears
32,3,rank,Tyson Beckford,Tyson Beckford,Tyson Beckford,Tyson Beckford,Tyson Beckford,True,True,Tyson Beckford,Tyson Beckford
32,4,rank,Adrian Peterson,Adrian Peterson,Adrian Peterson,Adrian Peterson,Adrian Peterson,True,True,Adrian Peterson,Adrian Peterson
32,5,rank,Mira Sorvino,Mira Sorvino,Mira Sorvino,Harry Jowsey,Mira Sorvino,True,True,Harry Jowsey,Mira Sorvino
32,6,rank,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky,Barry Williams,Barry Williams,True,True,Barry Williams,Barry Williams
32,7,rank,Lele Pons,Lele Pons,Jason Mraz,Jason Mraz,Jason Mraz,False,True,Jason Mraz,Jason Mraz
32,8,rank,Barry Williams,Barry Williams,Barry Williams,Harry Jowsey,Barry Williams,True,True,Harry Jowsey,Barry Williams
32,9,rank,Harry Jowsey,Harry Jowsey,Harry Jowsey,Harry Jowsey,Harry Jowsey,True,True,Harry Jowsey,Harry Jowsey
32,10,rank,,Alyson Hannigan,Jason Mraz,Alyson Hannigan,Alyson Hannigan,False,False,Alyson Hannigan,Alyson Hannigan
32,11,rank,,Alyson Hannigan,Jason Mraz,Alyson Hannigan,Charity Lawson,False,False,Alyson Hannigan,Charity Lawson
33,1,rank,,Eric Roberts,Eric Roberts,Eric Roberts,Eric Roberts,False,False,Eric Roberts,Eric Roberts
33,2,rank,Tori Spelling,Anna Delvey,Anna Delvey,Anna Delvey,Anna Delvey,False,False,Anna Delvey,Anna Delvey
33,3,rank,Eric Roberts,Reginald VelJohnson,Eric Roberts,Reginald VelJohnson,Reginald VelJohnson,True,False,Reginald VelJohnson,Reginald VelJohnson
33,4,rank,Brooks Nader,Brooks Nader,Brooks Nader,Brooks Nader,Brooks Nader,True,True,Brooks Nader,Brooks Nader
33,5,rank,Phaedra Parks,Phaedra Parks,Phaedra Parks,Phaedra Parks,Phaedra Parks,True,True,Phaedra Parks,Phaedra Parks
33,6,rank,Jenn Tran,Jenn Tran,Jenn Tran,Danny Amendola,Danny Amendola,True,True,Danny Amendola,Danny Amendola
33,7,rank,Dwight Howard ,Dwight Howard ,Dwight Howard ,Dwight Howard ,Dwight Howard ,True,True,Dwight Howard ,Dwight Howard 
33,8,rank,,Danny Amendola,Danny Amendola,Stephen Nedoroscik,Stephen Nedoroscik,False,False,Stephen Nedoroscik,Stephen Nedoroscik
33,9,rank,,Danny Amendola,Ilona Maher,Danny Amendola,Ilona Maher,False,False,Danny Amendola,Ilona Maher
34,1,rank,,Corey Feldman,Corey Feldman,Corey Feldman,Corey Feldman,False,False,Corey Feldman,Corey Feldman
34,2,rank,Corey Feldman,Corey Feldman,Corey Feldman,Corey Feldman,Corey Feldman,True,True,Corey Feldman,Corey Feldman
34,3,rank,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,True,True,Lauren Jauregui,Lauren Jauregui
34,4,rank,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin,True,True,Hilaria Baldwin,Hilaria Baldwin
34,5,rank,,Andy Richter,Andy Richter,Andy Richter,Andy Richter,False,False,Andy Richter,Andy Richter
34,6,rank,Scott Hoying,Scott Hoying,Scott Hoying,Andy Richter,Scott Hoying,True,True,Andy Richter,Scott Hoying
34,7,rank,Jen Affleck,Jen Affleck,Jen Affleck,Elaine Hendrix,Jen Affleck,True,True,Elaine Hendrix,Jen Affleck
34,8,rank,Danielle Fishel,Danielle Fishel,Danielle Fishel,Danielle Fishel,Andy Richter,True,True,Danielle Fishel,Andy Richter
34,9,rank,Andy Richter,Andy Richter,Andy Richter,Andy Richter,Andy Richter,True,True,Andy Richter,Andy Richter
34,10,rank,Whitney Leavitt,Whitney Leavitt,Whitney Leavitt,Whitney Leavitt,Elaine Hendrix,True,True,Whitney Leavitt,Elaine Hendrix
34,11,rank,,Dylan Efron,Elaine Hendrix,Elaine Hendrix,Elaine Hendrix,False,False,Elaine Hendrix,Elaine Hendrix
