season,week,rule_used,actual_eliminated,elim_under_pct,elim_under_rank,elim_judge_choice_pct,elim_judge_choice_rank,match_same_method,match_cross_method
27,7,percentage,John Schneider,DeMarcus Ware,DeMarcus Ware,DeMarcus Ware,DeMarcus Ware,False,False
27,8,percentage,Juan Pablo Di Pace,Joe Amabile,Joe Amabile,Joe Amabile,Joe Amabile,False,False
27,9,percentage,,Bobby Bones,Bobby Bones,Bobby Bones,Bobby Bones,False,False
28,1,rank,,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom,False,False
28,2,rank,Mary Wilson,Mary Wilson,Mary Wilson,Lamar Odom,Mary Wilson,True,True
28,3,rank,,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom,False,False
28,4,rank,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom,Lamar Odom,True,True
28,5,rank,,Sean Spicer,Sean Spicer,Sean Spicer,Sean Spicer,False,False
28,6,rank,Sailor Brinkley-Cook,Sailor Brinkley-Cook,Sailor Brinkley-Cook,Sailor Brinkley-Cook,Kel Mitchell,True,True
28,7,rank,Karamo Brown,Karamo Brown,Karamo Brown,Karamo Brown,Karamo Brown,True,True
28,8,rank,Kate Flannery,Kate Flannery,Kate Flannery,Sean Spicer,Sean Spicer,True,True
28,9,rank,Sean Spicer,Sean Spicer,Sean Spicer,Sean Spicer,Sean Spicer,True,True
28,10,rank,James Van Der Beek,James Van Der Beek,James Van Der Beek,James Van Der Beek,James Van Der Beek,True,True
28,11,rank,,Lauren Alaina,Lauren Alaina,Lauren Alaina,Lauren Alaina,False,False
29,1,rank,,Charles Oakley,Charles Oakley,Carole Baskin,Charles Oakley,False,False
29,2,rank,Charles Oakley,Charles Oakley,Charles Oakley,Charles Oakley,Charles Oakley,True,True
29,3,rank,Carole Baskin,Carole Baskin,Carole Baskin,Carole Baskin,Carole Baskin,True,True
29,4,rank,Anne Heche,Anne Heche,Anne Heche,Anne Heche,Anne Heche,True,True
29,5,rank,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,True,True
29,6,rank,Veron Davis,Veron Davis,Veron Davis,Skai Jackson,Veron Davis,True,True
29,7,rank,Monica Aldama,Monica Aldama,Monica Aldama,Monica Aldama,Monica Aldama,True,True
29,8,rank,Chrishell Stause,Chrishell Stause,Chrishell Stause,Chrishell Stause,Chrishell Stause,True,True
29,9,rank,AJ McLean,AJ McLean,AJ McLean,Nelly,AJ McLean,True,True
29,10,rank,Skai Jackson,Skai Jackson,Skai Jackson,Skai Jackson,Skai Jackson,True,True
29,11,rank,,Nelly,Kaitlyn Bristowe,Nelly,Nelly,False,False
30,1,rank,,Martin Kove,Martin Kove,Martin Kove,Martin Kove,False,False
30,2,rank,Martin Kove,Martin Kove,Martin Kove,Martin Kove,Martin Kove,True,True
30,3,rank,Christine Chiu,Christine Chiu,Christine Chiu,Matt James,Christine Chiu,True,True
30,4,rank,Brian Austin Green,Matt James,Brian Austin Green,Brian Austin Green,Brian Austin Green,True,False
30,5,rank,Melanie C,Melanie C,Melanie C,Melanie C,Melanie C,True,True
30,6,rank,Kenya Moore,Kenya Moore,Kenya Moore,Kenya Moore,Kenya Moore,True,True
30,7,rank,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,True
30,8,rank,Jimmie Allen,Jimmie Allen,Jimmie Allen,Jimmie Allen,Jimmie Allen,True,True
30,9,rank,Melora Hardin,Suni Lee,Melora Hardin,Melora Hardin,Melora Hardin,True,False
30,10,rank,,Cody Rigsby,Cody Rigsby,Cody Rigsby,Cody Rigsby,False,False
31,1,rank,Jason Lewis,Jason Lewis,Jason Lewis,Vinny Guadagnino,Jason Lewis,True,True
31,2,rank,Teresa Giudice,Teresa Giudice,Teresa Giudice,Cheryl Ladd,Teresa Giudice,True,True
31,3,rank,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd,Vinny Guadagnino,Cheryl Ladd,True,True
31,4,rank,Sam Champion,Sam Champion,Sam Champion,Sam Champion,Sam Champion,True,True
31,5,rank,Joseph Baena,Joseph Baena,Joseph Baena,Joseph Baena,Joseph Baena,True,True
31,6,rank,Jessie James Decker,Jessie James Decker,Jessie James Decker,Jessie James Decker,Jessie James Decker,True,True
31,7,rank,Jordin Sparks,Jordin Sparks,Jordin Sparks,Jordin Sparks,Jordin Sparks,True,True
31,8,rank,Heidi D'Amelio,Vinny Guadagnino,Heidi D'Amelio,Vinny Guadagnino,Vinny Guadagnino,True,False
31,9,rank,Trevor Donovan,Daniel Durant,Trevor Donovan,Trevor Donovan,Trevor Donovan,True,False
31,10,rank,,Shangela,Shangela,Shangela,Shangela,False,False
32,1,rank,Matt Walsh,Matt Walsh,Matt Walsh,Matt Walsh,Matt Walsh,True,True
32,2,rank,Jamie Lynn Spears,Jamie Lynn Spears,Jamie Lynn Spears,Mauricio Umansky,Jamie Lynn Spears,True,True
32,3,rank,Tyson Beckford,Tyson Beckford,Tyson Beckford,Tyson Beckford,Tyson Beckford,True,True
32,4,rank,Adrian Peterson,Adrian Peterson,Adrian Peterson,Adrian Peterson,Adrian Peterson,True,True
32,5,rank,Mira Sorvino,Mira Sorvino,Mira Sorvino,Harry Jowsey,Mira Sorvino,True,True
32,6,rank,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky,Barry Williams,Barry Williams,True,True
32,7,rank,Lele Pons,Lele Pons,Jason Mraz,Jason Mraz,Jason Mraz,False,True
32,8,rank,Barry Williams,Barry Williams,Barry Williams,Harry Jowsey,Barry Williams,True,True
32,9,rank,Harry Jowsey,Harry Jowsey,Harry Jowsey,Harry Jowsey,Harry Jowsey,True,True
32,10,rank,,Alyson Hannigan,Jason Mraz,Alyson Hannigan,Alyson Hannigan,False,False
32,11,rank,,Alyson Hannigan,Jason Mraz,Alyson Hannigan,Charity Lawson,False,False
33,1,rank,,Eric Roberts,Eric Roberts,Eric Roberts,Eric Roberts,False,False
33,2,rank,Tori Spelling,Anna Delvey,Anna Delvey,Anna Delvey,Anna Delvey,False,False
33,3,rank,Eric Roberts,Reginald VelJohnson,Eric Roberts,Reginald VelJohnson,Reginald VelJohnson,True,False
33,4,rank,Brooks Nader,Brooks Nader,Brooks Nader,Brooks Nader,Brooks Nader,True,True
33,5,rank,Phaedra Parks,Phaedra Parks,Phaedra Parks,Phaedra Parks,Phaedra Parks,True,True
33,6,rank,Jenn Tran,Jenn Tran,Jenn Tran,Danny Amendola,Danny Amendola,True,True
33,7,rank,Dwight Howard ,Dwight Howard ,Dwight Howard ,Dwight Howard ,Dwight Howard ,True,True
33,8,rank,,Danny Amendola,Danny Amendola,Stephen Nedoroscik,Stephen Nedoroscik,False,False
33,9,rank,,Danny Amendola,Ilona Maher,Danny Amendola,Ilona Maher,False,False
34,1,rank,,Corey Feldman,Corey Feldman,Corey Feldman,Corey Feldman,False,False
34,2,rank,Corey Feldman,Corey Feldman,Corey Feldman,Corey Feldman,Corey Feldman,True,True
34,3,rank,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,True,True
34,4,rank,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin,True,True
34,5,rank,,Andy Richter,Andy Richter,Andy Richter,Andy Richter,False,False
34,6,rank,Scott Hoying,Scott Hoying,Scott Hoying,Andy Richter,Scott Hoying,True,True
34,7,rank,Jen Affleck,Jen Affleck,Jen Affleck,Elaine Hendrix,Jen Affleck,True,True
34,8,rank,Danielle Fishel,Danielle Fishel,Danielle Fishel,Danielle Fishel,Andy Richter,True,True
34,9,rank,Andy Richter,Andy Richter,Andy Richter,Andy Richter,Andy Richter,True,True
34,10,rank,Whitney Leavitt,Whitney Leavitt,Whitney Leavitt,Whitney Leavitt,Elaine Hendrix,True,True
34,11,rank,,Dylan Efron,Elaine Hendrix,Elaine Hendrix,Elaine Hendrix,False,False
